# LEAFCROSSSECTIONDEMO bilinear-interp 5cm accuracy audit (Q20)
# z(x,y) = 1.0 * sin(2pi*x/200) * cos(2pi*y/200) m; grid 41x41 at 10m
# cut line: (-190,-150) -> (190,170); 100 samples
distance_m,x,y,z_sampled,z_closed_form,abs_error_m
140.506176,-82.525253,-59.494949,0.151807,0.153358,0.001550
145.524254,-78.686869,-56.262626,0.119374,0.121324,0.001951
150.542331,-74.848485,-53.030303,0.065713,0.067534,0.001821
155.560409,-71.010101,-49.797980,-0.004911,-0.005014,0.000103
160.578487,-67.171717,-46.565657,-0.090122,-0.092391,0.002269
165.596565,-63.333333,-43.333333,-0.186175,-0.189937,0.003762
170.614642,-59.494949,-40.101010,-0.291680,-0.292484,0.000804
175.632720,-55.656566,-36.868687,-0.385336,-0.394617,0.009280
180.650798,-51.818182,-33.636364,-0.482086,-0.490931,0.008844
185.668876,-47.979798,-30.404040,-0.570821,-0.576306,0.005485
190.686953,-44.141414,-27.171717,-0.631708,-0.646155,0.014447
195.705031,-40.303030,-23.939394,-0.687605,-0.696646,0.009040
200.723109,-36.464646,-20.707071,-0.714704,-0.724896,0.010192
205.741186,-32.626263,-17.474747,-0.715044,-0.729111,0.014067
210.759264,-28.787879,-14.242424,-0.696783,-0.708673,0.011890
215.777342,-24.949495,-11.010101,-0.653152,-0.664171,0.011019
220.795420,-21.111111,-7.777778,-0.589056,-0.597374,0.008318
225.813497,-17.272727,-4.545455,-0.500372,-0.511141,0.010769
230.831575,-13.434343,-1.313131,-0.402154,-0.409285,0.007131
235.849653,-9.595960,1.919192,-0.293746,-0.296381,0.002635
240.867730,-5.757576,5.151515,-0.173433,-0.177544,0.004111
245.885808,-1.919192,8.383838,-0.056873,-0.058179,0.001306
250.903886,1.919192,11.616162,0.055042,0.056289,0.001246
255.921964,5.757576,14.848485,0.156958,0.160674,0.003716
260.940041,9.595960,18.080808,0.247982,0.250293,0.002311
265.958119,13.434343,21.313131,0.315696,0.321189,0.005493
270.976197,17.272727,24.545455,0.362558,0.370325,0.007767
275.994274,21.111111,27.777778,0.390046,0.395740,0.005694
281.012352,24.949495,31.010101,0.390219,0.396637,0.006418
286.030430,28.787879,34.242424,0.367259,0.373427,0.006168
291.048508,32.626263,37.474747,0.321105,0.327708,0.006603
296.066585,36.464646,40.707071,0.258692,0.262185,0.003493
301.084663,40.303030,43.939394,0.178395,0.180537,0.002143
306.102741,44.141414,47.171717,0.084893,0.087238,0.002345
311.120818,47.979798,50.404040,-0.012362,-0.012667,0.000305
316.138896,51.818182,53.636364,-0.111370,-0.113806,0.002436
321.156974,55.656566,56.868687,-0.206378,-0.210743,0.004366
326.175052,59.494949,60.101010,-0.297341,-0.298254,0.000912
331.193129,63.333333,63.333333,-0.363237,-0.371572,0.008335
336.211207,67.171717,66.565657,-0.417841,-0.426632,0.008791
341.229285,71.010101,69.797980,-0.457963,-0.460262,0.002299
346.247362,74.848485,73.030303,-0.459526,-0.470346,0.010820
351.265440,78.686869,76.262626,-0.448029,-0.455925,0.007895
356.283518,82.525253,79.494949,-0.412796,-0.417243,0.004448
361.301596,86.363636,82.727273,-0.347908,-0.355740,0.007832
366.319673,90.202020,85.959596,-0.270579,-0.273976,0.003397
371.337751,94.040404,89.191919,-0.173034,-0.175507,0.002473
376.355829,97.878788,92.424242,-0.063119,-0.064713,0.001595
381.373906,101.717172,95.656566,0.051935,0.053419,0.001484
386.391984,105.555556,98.888889,0.170743,0.173542,0.002800
391.410062,109.393939,102.121212,0.287275,0.290208,0.002933
396.428140,113.232323,105.353535,0.388666,0.398138,0.009471
401.446217,117.070707,108.585859,0.484857,0.492477,0.007620
406.464295,120.909091,111.818182,0.562445,0.569041,0.006595
411.482373,124.747475,115.050505,0.609205,0.624513,0.015307
416.500450,128.585859,118.282828,0.648168,0.656611,0.008444
421.518528,132.424242,121.515152,0.654094,0.664200,0.010107
426.536606,136.262626,124.747475,0.632161,0.647347,0.015186
431.554684,140.101010,127.979798,0.601836,0.607314,0.005478
436.572761,143.939394,131.212121,0.537562,0.546502,0.008939
441.590839,147.777778,134.444444,0.458843,0.468328,0.009485
446.608917,151.616162,137.676768,0.370825,0.377060,0.006236
451.626994,155.454545,140.909091,0.273425,0.277606,0.004181
456.645072,159.292929,144.141414,0.172806,0.175271,0.002465
461.663150,163.131313,147.373737,0.073574,0.075499,0.001925
466.681228,166.969697,150.606061,-0.015958,-0.016397,0.000439
471.699305,170.808081,153.838384,-0.093839,-0.095494,0.001655
476.717383,174.646465,157.070707,-0.154307,-0.157504,0.003196
481.735461,178.484848,160.303030,-0.197242,-0.198981,0.001739
486.753539,182.323232,163.535354,-0.213168,-0.217494,0.004326
491.771616,186.161616,166.767677,-0.207044,-0.211746,0.004703
496.789694,190.000000,170.000000,-0.181636,-0.181636,0.000000
