# Homeruns
Inverter/MPPT	Circuit	Which	Mod / String	Length (ft)	Circuit Length (ft)	One-Way Length (ft)
5 - a	40	String	14	82.07	145.11	72.55
5 - a	40	End Homerun	NA	43.46	145.11	72.55
5 - a	41	String	14	82.07	193.61	96.80
5 - a	41	Start Homerun	NA	58.12	193.61	96.80
5 - a	41	End Homerun	NA	53.42	193.61	96.80
5 - a	42	End Homerun	NA	89.57	232.24	116.12
5 - a	42	String	13	77.23	232.24	116.12
5 - a	42	Start Homerun	NA	65.44	232.24	116.12
5 - b	43	End Homerun	NA	63.87	279.32	139.66
5 - b	43	Start Homerun	NA	100.94	279.32	139.66
5 - b	43	String	13	114.51	279.32	139.66
5 - b	44	End Homerun	NA	70.56	324.35	162.17
5 - b	44	Start Homerun	NA	93.31	324.35	162.17
5 - b	44	String	13	160.47	324.35	162.17
5 - b	45	Start Homerun	NA	99.81	388.81	194.40
5 - b	45	End Homerun	NA	122.96	388.81	194.40
5 - b	45	String	13	166.04	388.81	194.40
5 - b	46	End Homerun	NA	118.60	414.28	207.14
5 - b	46	String	13	200.37	414.28	207.14
5 - b	46	Start Homerun	NA	95.30	414.28	207.14
5 - b	47	Start Homerun	NA	115.63	291.33	145.66
5 - b	47	String	13	75.61	291.33	145.66
5 - b	47	End Homerun	NA	100.09	291.33	145.66
5 - b	48	String	13	130.55	323.13	161.57
5 - b	48	Start Homerun	NA	101.02	323.13	161.57
5 - b	48	End Homerun	NA	91.56	323.13	161.57
5 - c	49	Start Homerun	NA	109.09	303.27	151.63
5 - c	49	End Homerun	NA	118.55	303.27	151.63
5 - c	49	String	13	75.63	303.27	151.63
5 - c	50	String	14	82.07	121.66	60.83
5 - c	50	Start Homerun	NA	0.33	121.66	60.83
5 - c	50	End Homerun	NA	39.26	121.66	60.83
5 - c	51	String	14	82.07	169.82	84.91
5 - c	51	Start Homerun	NA	15.96	169.82	84.91
5 - c	51	End Homerun	NA	71.80	169.82	84.91
5 - c	52	End Homerun	NA	4.83	165.08	82.54
5 - c	52	String	14	82.07	165.08	82.54
5 - c	52	Start Homerun	NA	78.18	165.08	82.54
5 - c	53	String	14	82.07	169.16	84.58
5 - c	53	Start Homerun	NA	67.52	169.16	84.58
5 - c	53	End Homerun	NA	19.58	169.16	84.58
5 - c	54	End Homerun	NA	16.35	167.54	83.77
5 - c	54	String	14	83.67	167.54	83.77
5 - c	54	Start Homerun	NA	67.52	167.54	83.77
5 - d	55	End Homerun	NA	71.31	165.15	82.58
5 - d	55	String	14	82.07	165.15	82.58
5 - d	55	Start Homerun	NA	11.78	165.15	82.58
5 - d	56	String	14	82.07	169.62	84.81
5 - d	56	Start Homerun	NA	27.52	169.62	84.81
5 - d	56	End Homerun	NA	60.04	169.62	84.81
5 - d	57	End Homerun	NA	32.43	139.35	69.67
5 - d	57	Start Homerun	NA	29.69	139.35	69.67
5 - d	57	String	13	77.23	139.35	69.67
5 - d	58	End Homerun	NA	48.41	186.16	93.08
5 - d	58	String	14	80.43	186.16	93.08
5 - d	58	Start Homerun	NA	57.32	186.16	93.08
5 - d	59	End Homerun	NA	6.77	144.12	72.06
5 - d	59	Start Homerun	NA	52.06	144.12	72.06
5 - d	59	String	14	85.29	144.12	72.06
5 - d	60	End Homerun	NA	52.72	168.82	84.41
5 - d	60	Start Homerun	NA	32.43	168.82	84.41
5 - d	60	String	14	83.67	168.82	84.41
5 - e	61	String	14	82.07	174.12	87.06
5 - e	61	Start Homerun	NA	46.41	174.12	87.06
5 - e	61	End Homerun	NA	45.65	174.12	87.06
5 - e	62	End Homerun	NA	16.35	150.47	75.24
5 - e	62	String	14	82.07	150.47	75.24
5 - e	62	Start Homerun	NA	52.06	150.47	75.24
5 - e	63	String	14	82.07	156.94	78.47
5 - e	63	Start Homerun	NA	19.58	156.94	78.47
5 - e	63	End Homerun	NA	55.30	156.94	78.47
5 - e	64	End Homerun	NA	0.33	147.29	73.64
5 - e	64	Start Homerun	NA	64.89	147.29	73.64
5 - e	64	String	14	82.07	147.29	73.64
5 - e	65	End Homerun	NA	66.30	164.72	82.36
5 - e	65	String	14	82.07	164.72	82.36
5 - e	65	Start Homerun	NA	16.35	164.72	82.36
5 - e	66	String	14	83.67	145.00	72.50
5 - e	66	End Homerun	NA	28.91	145.00	72.50
5 - e	66	Start Homerun	NA	32.43	145.00	72.50
5 - f	67	Start Homerun	NA	75.91	236.90	118.45
5 - f	67	String	13	77.79	236.90	118.45
5 - f	67	End Homerun	NA	83.20	236.90	118.45
5 - f	68	End Homerun	NA	82.49	227.12	113.56
5 - f	68	Start Homerun	NA	68.63	227.12	113.56
5 - f	68	String	13	76.00	227.12	113.56
5 - f	69	String	14	80.45	183.81	91.91
5 - f	69	End Homerun	NA	40.93	183.81	91.91
5 - f	69	Start Homerun	NA	62.44	183.81	91.91
5 - f	70	End Homerun	NA	41.55	146.61	73.31
5 - f	70	Start Homerun	NA	22.99	146.61	73.31
5 - f	70	String	14	82.07	146.61	73.31
5 - f	71	End Homerun	NA	31.78	174.73	87.37
5 - f	71	Start Homerun	NA	67.32	174.73	87.37
5 - f	71	String	13	75.63	174.73	87.37
5 - f	72	Start Homerun	NA	25.02	127.30	63.65
5 - f	72	String	14	82.07	127.30	63.65
5 - f	72	End Homerun	NA	20.21	127.30	63.65
6 - a	73	End Homerun	NA	0.33	160.13	80.07
6 - a	73	String	14	82.07	160.13	80.07
6 - a	73	Start Homerun	NA	77.73	160.13	80.07
6 - a	74	String	14	82.07	134.46	67.23
6 - a	74	Start Homerun	NA	0.33	134.46	67.23
6 - a	74	End Homerun	NA	52.06	134.46	67.23
6 - a	75	Start Homerun	NA	0.33	155.17	77.58
6 - a	75	End Homerun	NA	77.58	155.17	77.58
6 - a	75	String	13	77.25	155.17	77.58
6 - a	76	End Homerun	NA	78.18	165.08	82.54
6 - a	76	Start Homerun	NA	4.83	165.08	82.54
6 - a	76	String	14	82.07	165.08	82.54
6 - a	77	Start Homerun	NA	71.80	169.82	84.91
6 - a	77	String	14	82.07	169.82	84.91
6 - a	77	End Homerun	NA	15.96	169.82	84.91
6 - a	78	End Homerun	NA	31.78	144.33	72.16
6 - a	78	Start Homerun	NA	38.54	144.33	72.16
6 - a	78	String	13	74.01	144.33	72.16
6 - b	79	End Homerun	NA	47.69	212.20	106.10
6 - b	79	String	14	82.05	212.20	106.10
6 - b	79	Start Homerun	NA	82.46	212.20	106.10
6 - b	80	End Homerun	NA	58.29	191.94	95.97
6 - b	80	String	13	78.85	191.94	95.97
6 - b	80	Start Homerun	NA	54.80	191.94	95.97
6 - b	81	End Homerun	NA	51.53	185.18	92.59
6 - b	81	Start Homerun	NA	54.80	185.18	92.59
6 - b	81	String	13	78.85	185.18	92.59
6 - b	82	End Homerun	NA	48.17	216.75	108.37
6 - b	82	String	13	77.25	216.75	108.37
6 - b	82	Start Homerun	NA	91.32	216.75	108.37
6 - b	83	End Homerun	NA	38.54	188.18	94.09
6 - b	83	Start Homerun	NA	67.57	188.18	94.09
6 - b	83	String	14	82.07	188.18	94.09
6 - b	84	String	14	80.43	216.77	108.39
6 - b	84	Start Homerun	NA	59.55	216.77	108.39
6 - b	84	End Homerun	NA	76.79	216.77	108.39
6 - c	85	Start Homerun	NA	56.55	171.27	85.64
6 - c	85	String	13	80.46	171.27	85.64
6 - c	85	End Homerun	NA	34.27	171.27	85.64
6 - c	86	Start Homerun	NA	4.83	87.23	43.61
6 - c	86	String	13	75.63	87.23	43.61
6 - c	86	End Homerun	NA	6.77	87.23	43.61
6 - c	87	End Homerun	NA	37.80	149.75	74.88
6 - c	87	Start Homerun	NA	31.51	149.75	74.88
6 - c	87	String	14	80.45	149.75	74.88
6 - c	88	String	14	82.07	160.34	80.17
6 - c	88	End Homerun	NA	40.47	160.34	80.17
6 - c	88	Start Homerun	NA	37.80	160.34	80.17
6 - c	89	End Homerun	NA	61.72	267.23	133.61
6 - c	89	Start Homerun	NA	129.88	267.23	133.61
6 - c	89	String	13	75.63	267.23	133.61
6 - c	90	String	13	77.25	168.04	84.02
6 - c	90	Start Homerun	NA	84.02	168.04	84.02
6 - c	90	End Homerun	NA	6.77	168.04	84.02
6 - d	91	Start Homerun	NA	0.33	160.13	80.07
6 - d	91	End Homerun	NA	77.73	160.13	80.07
6 - d	91	String	14	82.07	160.13	80.07
6 - d	92	End Homerun	NA	14.06	102.52	51.26
6 - d	92	Start Homerun	NA	14.46	102.52	51.26
6 - d	92	String	13	74.01	102.52	51.26
6 - d	93	End Homerun	NA	75.26	213.99	107.00
6 - d	93	Start Homerun	NA	62.73	213.99	107.00
6 - d	93	String	13	76.00	213.99	107.00
6 - d	94	End Homerun	NA	69.29	191.36	95.68
6 - d	94	Start Homerun	NA	44.49	191.36	95.68
6 - d	94	String	13	77.58	191.36	95.68
6 - d	95	End Homerun	NA	52.99	224.19	112.10
6 - d	95	String	13	77.25	224.19	112.10
6 - d	95	Start Homerun	NA	93.95	224.19	112.10
6 - d	96	String	13	77.25	247.49	123.75
6 - d	96	End Homerun	NA	67.44	247.49	123.75
6 - d	96	Start Homerun	NA	102.80	247.49	123.75
6 - e	97	End Homerun	NA	96.75	231.81	115.90
6 - e	97	Start Homerun	NA	57.81	231.81	115.90
6 - e	97	String	13	77.25	231.81	115.90
6 - e	98	End Homerun	NA	161.97	432.20	216.10
6 - e	98	Start Homerun	NA	188.16	432.20	216.10
6 - e	98	String	14	82.07	432.20	216.10
6 - e	99	String	13	77.25	239.58	119.79
6 - e	99	End Homerun	NA	62.62	239.58	119.79
6 - e	99	Start Homerun	NA	99.70	239.58	119.79
6 - e	100	String	14	82.07	428.81	214.41
6 - e	100	Start Homerun	NA	161.03	428.81	214.41
6 - e	100	End Homerun	NA	185.72	428.81	214.41
6 - e	101	String	14	83.69	171.29	85.64
6 - e	101	Start Homerun	NA	63.89	171.29	85.64
6 - e	101	End Homerun	NA	23.71	171.29	85.64
6 - e	102	String	13	77.25	431.21	215.60
6 - e	102	End Homerun	NA	139.61	431.21	215.60
6 - e	102	Start Homerun	NA	214.35	431.21	215.60
6 - f	103	String	14	83.69	174.97	87.48
6 - f	103	Start Homerun	NA	64.92	174.97	87.48
6 - f	103	End Homerun	NA	26.36	174.97	87.48
6 - f	104	End Homerun	NA	181.87	397.44	198.72
6 - f	104	String	14	82.07	397.44	198.72
6 - f	104	Start Homerun	NA	133.51	397.44	198.72
6 - f	105	String	14	83.67	150.36	75.18
6 - f	105	Start Homerun	NA	29.53	150.36	75.18
6 - f	105	End Homerun	NA	37.16	150.36	75.18
6 - f	106	String	14	82.07	195.91	97.95
6 - f	106	Start Homerun	NA	59.06	195.91	97.95
6 - f	106	End Homerun	NA	54.78	195.91	97.95
6 - f	107	Start Homerun	NA	30.73	118.62	59.31
6 - f	107	String	14	82.07	118.62	59.31
6 - f	107	End Homerun	NA	5.82	118.62	59.31
6 - f	108	End Homerun	NA	58.61	197.06	98.53
6 - f	108	Start Homerun	NA	62.45	197.06	98.53
6 - f	108	String	13	76.00	197.06	98.53
2 - a	109	End Homerun	NA	19.90	114.01	57.01
2 - a	109	Start Homerun	NA	9.69	114.01	57.01
2 - a	109	String	14	84.42	114.01	57.01
2 - a	110	Start Homerun	NA	36.69	143.32	71.66
2 - a	110	String	14	86.00	143.32	71.66
2 - a	110	End Homerun	NA	20.63	143.32	71.66
2 - a	111	String	13	77.79	158.46	79.23
2 - a	111	Start Homerun	NA	31.13	158.46	79.23
2 - a	111	End Homerun	NA	49.54	158.46	79.23
2 - a	112	End Homerun	NA	14.28	114.64	57.32
2 - a	112	Start Homerun	NA	14.57	114.64	57.32
2 - a	112	String	14	85.79	114.64	57.32
2 - a	113	End Homerun	NA	44.55	148.46	74.23
2 - a	113	Start Homerun	NA	16.11	148.46	74.23
2 - a	113	String	14	87.79	148.46	74.23
2 - a	114	String	14	80.85	120.98	60.49
2 - a	114	Start Homerun	NA	6.30	120.98	60.49
2 - a	114	End Homerun	NA	33.84	120.98	60.49
2 - b	115	String	13	77.79	156.03	78.02
2 - b	115	End Homerun	NA	33.90	156.03	78.02
2 - b	115	Start Homerun	NA	44.34	156.03	78.02
2 - b	116	Start Homerun	NA	20.15	159.95	79.97
2 - b	116	String	13	79.58	159.95	79.97
2 - b	116	End Homerun	NA	60.21	159.95	79.97
2 - b	117	String	14	83.67	235.44	117.72
2 - b	117	Start Homerun	NA	74.52	235.44	117.72
2 - b	117	End Homerun	NA	77.25	235.44	117.72
2 - b	118	End Homerun	NA	0.33	151.58	75.79
2 - b	118	String	14	84.42	151.58	75.79
2 - b	118	Start Homerun	NA	66.83	151.58	75.79
2 - b	119	End Homerun	NA	27.66	209.75	104.88
2 - b	119	String	13	77.25	209.75	104.88
2 - b	119	Start Homerun	NA	104.84	209.75	104.88
2 - b	120	String	13	77.79	153.46	76.73
2 - b	120	Start Homerun	NA	34.61	153.46	76.73
2 - b	120	End Homerun	NA	41.06	153.46	76.73
2 - c	121	Start Homerun	NA	85.21	272.99	136.50
2 - c	121	End Homerun	NA	111.79	272.99	136.50
2 - c	121	String	13	76.00	272.99	136.50
2 - c	122	String	13	77.79	182.88	91.44
2 - c	122	Start Homerun	NA	54.97	182.88	91.44
2 - c	122	End Homerun	NA	50.12	182.88	91.44
2 - c	123	Start Homerun	NA	87.03	284.75	142.37
2 - c	123	String	13	77.79	284.75	142.37
2 - c	123	End Homerun	NA	119.92	284.75	142.37
2 - c	124	String	13	79.37	202.22	101.11
2 - c	124	Start Homerun	NA	52.23	202.22	101.11
2 - c	124	End Homerun	NA	70.62	202.22	101.11
2 - c	125	String	14	84.42	176.44	88.22
2 - c	125	End Homerun	NA	57.15	176.44	88.22
2 - c	125	Start Homerun	NA	34.87	176.44	88.22
2 - c	126	String	13	77.79	168.35	84.18
2 - c	126	End Homerun	NA	51.20	168.35	84.18
2 - c	126	Start Homerun	NA	39.36	168.35	84.18
2 - d	127	Start Homerun	NA	90.41	254.05	127.02
2 - d	127	String	13	82.74	254.05	127.02
2 - d	127	End Homerun	NA	80.89	254.05	127.02
2 - d	128	Start Homerun	NA	67.07	211.58	105.79
2 - d	128	String	13	81.16	211.58	105.79
2 - d	128	End Homerun	NA	63.34	211.58	105.79
2 - d	129	Start Homerun	NA	52.72	176.67	88.34
2 - d	129	End Homerun	NA	46.16	176.67	88.34
2 - d	129	String	13	77.79	176.67	88.34
2 - d	130	End Homerun	NA	95.74	251.44	125.72
2 - d	130	Start Homerun	NA	73.65	251.44	125.72
2 - d	130	String	14	82.05	251.44	125.72
2 - d	131	End Homerun	NA	40.75	155.82	77.91
2 - d	131	String	12	65.95	155.82	77.91
2 - d	131	Start Homerun	NA	49.12	155.82	77.91
2 - d	132	End Homerun	NA	80.01	230.99	115.50
2 - d	132	String	14	83.67	230.99	115.50
2 - d	132	Start Homerun	NA	67.31	230.99	115.50
2 - e	133	String	12	62.71	215.15	107.57
2 - e	133	Start Homerun	NA	78.37	215.15	107.57
2 - e	133	End Homerun	NA	74.06	215.15	107.57
2 - e	134	End Homerun	NA	104.85	209.83	104.91
2 - e	134	Start Homerun	NA	21.29	209.83	104.91
2 - e	134	String	14	83.69	209.83	104.91
2 - e	135	Start Homerun	NA	24.22	145.99	72.99
2 - e	135	End Homerun	NA	39.14	145.99	72.99
2 - e	135	String	14	82.63	145.99	72.99
2 - e	136	End Homerun	NA	30.46	138.87	69.43
2 - e	136	Start Homerun	NA	26.34	138.87	69.43
2 - e	136	String	14	82.07	138.87	69.43
2 - e	137	Start Homerun	NA	11.55	117.59	58.80
2 - e	137	End Homerun	NA	25.20	117.59	58.80
2 - e	137	String	14	80.85	117.59	58.80
2 - e	138	String	14	85.29	142.25	71.13
2 - e	138	Start Homerun	NA	13.07	142.25	71.13
2 - e	138	End Homerun	NA	43.89	142.25	71.13
2 - f	139	String	14	82.63	234.29	117.14
2 - f	139	Start Homerun	NA	70.91	234.29	117.14
2 - f	139	End Homerun	NA	80.74	234.29	117.14
2 - f	140	String	14	82.07	152.38	76.19
2 - f	140	Start Homerun	NA	53.83	152.38	76.19
2 - f	140	End Homerun	NA	16.49	152.38	76.19
2 - f	141	Start Homerun	NA	55.33	202.68	101.34
2 - f	141	String	14	82.63	202.68	101.34
2 - f	141	End Homerun	NA	64.72	202.68	101.34
2 - f	142	Start Homerun	NA	38.04	143.48	71.74
2 - f	142	String	14	82.07	143.48	71.74
2 - f	142	End Homerun	NA	23.37	143.48	71.74
2 - f	143	String	14	82.63	172.01	86.00
2 - f	143	Start Homerun	NA	40.41	172.01	86.00
2 - f	143	End Homerun	NA	48.96	172.01	86.00
2 - f	144	String	14	84.42	216.63	108.32
2 - f	144	Start Homerun	NA	64.41	216.63	108.32
2 - f	144	End Homerun	NA	67.80	216.63	108.32
7 - a	145	String	13	78.85	214.87	107.43
7 - a	145	Start Homerun	NA	76.50	214.87	107.43
7 - a	145	End Homerun	NA	59.51	214.87	107.43
7 - a	146	String	13	75.63	123.75	61.87
7 - a	146	End Homerun	NA	32.43	123.75	61.87
7 - a	146	Start Homerun	NA	15.69	123.75	61.87
7 - a	147	End Homerun	NA	22.99	141.03	70.52
7 - a	147	Start Homerun	NA	45.65	141.03	70.52
7 - a	147	String	13	72.39	141.03	70.52
7 - a	148	String	13	77.58	233.03	116.52
7 - a	148	Start Homerun	NA	76.72	233.03	116.52
7 - a	148	End Homerun	NA	78.73	233.03	116.52
7 - a	149	End Homerun	NA	72.09	242.91	121.45
7 - a	149	String	13	74.21	242.91	121.45
7 - a	149	Start Homerun	NA	96.61	242.91	121.45
7 - a	150	Start Homerun	NA	0.33	108.78	54.39
7 - a	150	End Homerun	NA	39.26	108.78	54.39
7 - a	150	String	12	69.19	108.78	54.39
7 - b	151	End Homerun	NA	6.77	96.19	48.10
7 - b	151	String	12	69.19	96.19	48.10
7 - b	151	Start Homerun	NA	20.23	96.19	48.10
7 - b	152	String	12	69.19	228.41	114.20
7 - b	152	Start Homerun	NA	83.91	228.41	114.20
7 - b	152	End Homerun	NA	75.31	228.41	114.20
7 - b	153	End Homerun	NA	121.48	312.90	156.45
7 - b	153	Start Homerun	NA	113.62	312.90	156.45
7 - b	153	String	13	77.79	312.90	156.45
7 - b	154	Start Homerun	NA	127.74	293.14	146.57
7 - b	154	String	13	77.79	293.14	146.57
7 - b	154	End Homerun	NA	87.61	293.14	146.57
7 - b	155	String	14	87.79	358.46	179.23
7 - b	155	Start Homerun	NA	143.51	358.46	179.23
7 - b	155	End Homerun	NA	127.16	358.46	179.23
7 - b	156	Start Homerun	NA	216.26	512.57	256.28
7 - b	156	String	14	85.79	512.57	256.28
7 - b	156	End Homerun	NA	210.51	512.57	256.28
7 - c	157	Start Homerun	NA	107.25	299.59	149.80
7 - c	157	String	14	84.21	299.59	149.80
7 - c	157	End Homerun	NA	108.13	299.59	149.80
7 - c	158	String	14	84.42	238.90	119.45
7 - c	158	Start Homerun	NA	68.09	238.90	119.45
7 - c	158	End Homerun	NA	86.39	238.90	119.45
7 - c	159	End Homerun	NA	72.66	216.61	108.31
7 - c	159	Start Homerun	NA	63.53	216.61	108.31
7 - c	159	String	14	80.43	216.61	108.31
7 - c	160	Start Homerun	NA	101.93	281.24	140.62
7 - c	160	String	14	80.45	281.24	140.62
7 - c	160	End Homerun	NA	98.86	281.24	140.62
7 - c	161	Start Homerun	NA	79.40	209.52	104.76
7 - c	161	End Homerun	NA	48.07	209.52	104.76
7 - c	161	String	14	82.05	209.52	104.76
7 - c	162	End Homerun	NA	72.77	201.53	100.77
7 - c	162	Start Homerun	NA	46.70	201.53	100.77
7 - c	162	String	14	82.07	201.53	100.77
7 - d	163	String	14	82.07	184.45	92.23
7 - d	163	Start Homerun	NA	41.17	184.45	92.23
7 - d	163	End Homerun	NA	61.21	184.45	92.23
7 - d	164	Start Homerun	NA	40.31	164.33	82.16
7 - d	164	String	14	82.07	164.33	82.16
7 - d	164	End Homerun	NA	41.95	164.33	82.16
7 - d	165	End Homerun	NA	46.35	156.35	78.17
7 - d	165	String	14	82.07	156.35	78.17
7 - d	165	Start Homerun	NA	27.93	156.35	78.17
7 - d	166	End Homerun	NA	56.66	212.30	106.15
7 - d	166	Start Homerun	NA	81.64	212.30	106.15
7 - d	166	String	13	74.00	212.30	106.15
7 - d	167	String	14	85.29	152.54	76.27
7 - d	167	Start Homerun	NA	31.69	152.54	76.27
7 - d	167	End Homerun	NA	35.56	152.54	76.27
7 - d	168	String	14	78.83	211.56	105.78
7 - d	168	Start Homerun	NA	73.20	211.56	105.78
7 - d	168	End Homerun	NA	59.52	211.56	105.78
7 - e	169	String	13	75.63	324.13	162.06
7 - e	169	Start Homerun	NA	134.33	324.13	162.06
7 - e	169	End Homerun	NA	114.17	324.13	162.06
7 - e	170	String	12	70.80	327.59	163.80
7 - e	170	Start Homerun	NA	123.54	327.59	163.80
7 - e	170	End Homerun	NA	133.26	327.59	163.80
7 - e	171	Start Homerun	NA	135.81	424.45	212.23
7 - e	171	End Homerun	NA	135.77	424.45	212.23
7 - e	171	String	13	152.88	424.45	212.23
7 - e	172	String	13	147.04	406.95	203.48
7 - e	172	Start Homerun	NA	128.47	406.95	203.48
7 - e	172	End Homerun	NA	131.44	406.95	203.48
7 - e	173	Start Homerun	NA	132.76	334.01	167.01
7 - e	173	End Homerun	NA	125.62	334.01	167.01
7 - e	173	String	13	75.63	334.01	167.01
-	-	Feeder	NA	165.42	N/A	N/A
